No,District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Specific_r,Remarks,longitude,latitude,Reclass_Sl,RASTERVALU
165,Kannur,Y,N,N,DF,0,0,2037.13000000000,0,N,N,FDN,FDN,,,75.92101000000,11.90955800000,3,19.32300758360
166,Kannur,Y,N,N,DF,0,0,1938.24000000000,0,N,N,FDN,FDN,,,75.92369900000,11.91803300000,8,44.99891281130
167,Kannur,Y,N,N,DF,0,0,938.52600000000,0,N,N,FDN,FDN,,,75.92509800000,11.91922000000,1,6.90995883942
168,Kannur,Y,N,N,DF,0,0,941.20300000000,0,N,N,FDN,FDN,,,75.92572200000,11.91822000000,3,18.81175422670
169,Kannur,Y,N,N,DF,0,0,662.88300000000,0,N,N,FDN,FDN,,,75.92622400000,11.91804300000,3,17.61585807800
170,Kannur,Y,N,N,DF,0,0,645.39900000000,0,N,N,FDN,FDN,,,75.92549400000,11.91761100000,7,36.19931411740
171,Kannur,Y,N,N,DF,0,0,1164.88000000000,0,N,N,FDN,FDN,,,75.92587200000,11.90423800000,3,18.18930053710
172,Kannur,Y,N,N,DF,0,0,2106.30000000000,0,N,N,FDN,FDN,,,75.92380300000,11.90146000000,7,38.65230178830
173,Kannur,Y,N,N,DF,0,0,6387.48000000000,0,N,N,FDN,FDN,,,75.92340800000,11.89838500000,8,42.86392974850
174,Kannur,Y,N,N,DF,0,0,2251.14000000000,0,N,N,FDN,FDN,,,75.88877100000,11.84720100000,7,36.13047409060
175,Kannur,Y,N,N,DF,0,0,1905.88000000000,0,N,N,FDN,FDN,,,75.92149600000,11.89530700000,6,33.49155807500
176,Kannur,Y,N,N,DF,0,0,980.06500000000,0,N,N,FDN,FDN,,,75.92092900000,11.89156500000,6,34.77099990840
177,Kannur,Y,N,N,DF,0,0,6597.24000000000,0,N,N,FDN,FDN,,,75.92477200000,11.89068500000,9,45.73616027830
178,Kannur,Y,N,N,DF,0,0,775.09100000000,0,N,N,FDN,FDN,,,75.88724200000,11.88050500000,3,17.73681259160
179,Kannur,Y,N,N,DF,0,0,1290.89000000000,0,N,N,FDN,FDN,,,75.88617700000,11.87886200000,4,22.11884307860
180,Kannur,Y,N,N,DF,0,0,1479.06000000000,0,N,N,FDN,FDN,,,75.88433300000,11.87638500000,3,18.38673591610
181,Kannur,Y,N,N,DF,0,0,9115.44000000000,0,N,N,FDN,FDN,,,75.89357000000,11.86942800000,2,10.28240013120
182,Kannur,Y,N,N,DF,0,0,1019.66000000000,0,N,N,FDN,FDN,,,75.82206800000,11.93913000000,4,21.94054412840
